Sat Jan 24 10:29:45 2026    profiling_results.prof

         37484003 function calls (37473673 primitive calls) in 84.784 seconds

   Ordered by: cumulative time
   List reduced from 4140 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   84.788   84.788 <frozen runpy>:201(run_module)
        1    0.000    0.000   84.785   84.785 <frozen runpy>:65(_run_code)
    632/1    0.014    0.000   84.785   84.785 {built-in method builtins.exec}
        1   27.284   27.284   84.785   84.785 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:1(<module>)
   254674   24.193    0.000   24.193    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     4613    4.759    0.001    4.759    0.001 {built-in method pygame.display.flip}
   316357    3.461    0.000    3.461    0.000 {built-in method pygame.draw.polygon}
   568374    2.939    0.000    2.939    0.000 {built-in method pygame.draw.rect}
     8936    2.927    0.000    2.927    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
     4177    0.142    0.000    2.860    0.001 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:2581(update_hazard_obstacles)
    28004    1.110    0.000    2.779    0.000 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:2811(draw_cracked_brick_wall_texture)
     4613    2.403    0.001    2.403    0.001 {method 'tick' of 'pygame.time.Clock' objects}
      674    0.004    0.000    2.284    0.003 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\telemetry.py:1197(flush)
      671    2.212    0.003    2.212    0.003 {method 'commit' of 'sqlite3.Connection' objects}
  2374492    1.823    0.000    1.823    0.000 {built-in method pygame.draw.line}
      516    0.005    0.000    1.757    0.003 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:2108(spawn_friendly_projectile)
    13380    1.212    0.000    1.658    0.000 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:2429(generate_paraboloid_points)
 14784646    1.641    0.000    1.641    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
    34000    0.453    0.000    1.163    0.000 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:2777(draw_silver_wall_texture)
    34122    0.547    0.000    0.971    0.000 C:\Users\trist\OneDrive\Documents\GitHub\game.py_cursor_gpt\game.py:1725(move_enemy_with_push_cached)
        1    0.884    0.884    0.885    0.885 {built-in method pygame.display.set_mode}
    620/9    0.005    0.000    0.839    0.093 <frozen importlib._bootstrap>:1349(_find_and_load)
    618/9    0.002    0.000    0.839    0.093 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    599/9    0.002    0.000    0.836    0.093 <frozen importlib._bootstrap>:911(_load_unlocked)
    516/7    0.001    0.000    0.835    0.119 <frozen importlib._bootstrap_external>:993(exec_module)
  1480/20    0.002    0.000    0.832    0.042 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  1699417    0.567    0.000    0.813    0.000 {built-in method builtins.min}
   134862    0.716    0.000    0.716    0.000 {method 'render' of 'pygame.font.Font' objects}
   444572    0.351    0.000    0.594    0.000 {built-in method builtins.max}
